trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.47833564748025,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-173.6388018716172,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-106.56523569110938,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,1,-92.34485747352703,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-207.44133923708026,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-96.34455701834696,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,3,-28.73002817788144,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-74.86234930908982,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-78.41447377692857,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-75.03591574166056,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-11.176342190752155,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-84.83665310891139,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,21,10.008634590288477,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-15.479188200567348,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,19.345573323323435,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,9.396584498115267,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,8.657857804706737,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-52.87969673744362,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-9.475204556988649,"{0: 32, 1: 0, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,31.30286029417617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-5.040627053169799,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-11.390116800586926,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,12,18.488986874760663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,21.815306420098242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,25.129635174376496,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,13,21.166734894257562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,14.071751986454405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,-21.0918117311146,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,8,-22.712851841373322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,6.485332689619376,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,25.821986279266397,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",30,15,3.5954596382335318,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,0,-97.02749748657178,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,True,"{'a': 0, 'e': 0}",25,8,25.975903207662018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,0,43.83656011994792,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,0,12.062677484803118,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,0,-12.535230091327566,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",20,0,12.999405614399228,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,0,22.426165188786463,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,11,-21.915845379954582,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,True,"{'a': 0, 'e': 0}",25,0,-13.596628128492611,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
22,True,"{'a': 0, 'e': 0}",30,4,-11.401925985554819,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,14,10.953630340344743,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,12,24.58551674984831,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,9,15.510867558186735,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,10,13.422641045341964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,0,5.151076889377527,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",20,0,-5.087765513269114,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",30,19,17.121383088552374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,15,7.803398966612792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",30,0,49.01033120550922,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0, 'e': 0}",20,9,-19.550814110381175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,True,"{'a': 0, 'e': 0}",20,6,-18.00772069411094,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,True,"{'a': 0, 'e': 0}",20,0,-28.8843955394089,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
35,True,"{'a': 0, 'e': 0}",30,20,15.45659678014162,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",25,4,-8.809858487946375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,True,"{'a': 0, 'e': 0}",20,8,14.35757630400455,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",25,12,-20.767973545192124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,True,"{'a': 0, 'e': 0}",20,12,13.3821820088973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",30,0,39.281980542427604,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0, 'e': 0}",20,0,-11.114529522734172,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",25,0,35.9429183453509,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0, 'e': 0}",30,2,1.713423083813849,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,True,"{'a': 0, 'e': 0}",25,6,27.68406524807992,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",35,9,10.291984069988692,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,8,-1.1328963643681718,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
